Date,price,Volume,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,FFT 3,FFT 6,FFT 9,ARIMA
2019-07-19,2976.610107,3260360000,2998.3085937142946,2971.8195219523795,2958.3234594409337,2984.8933700375787,26.56991059664506,30.95100995617211,3033.721541864724,2909.9175020400353,2982.4159774901455,2975.610107,2904.7854,2984.8074,2920.6138,2995.8539922219707
2019-07-22,2985.030029,3003720000,2996.1828961428664,2973.2885741904747,2960.301723852717,2984.914394493336,24.6126706406194,30.6069198563091,3034.502413903093,2912.0747344778565,2984.158678496715,2984.030029,2903.1394,2986.4883,2924.3586,2976.6920088627917
2019-07-23,3005.469971,3313660000,2994.997174857152,2975.908098476189,2963.6475199377005,2988.076790878976,24.429270941275718,30.552806640334364,3037.013711756858,2914.80248519552,2998.3662068322387,3004.469971,2901.417,2988.0613,2928.2358,2988.478839863993
2019-07-24,3019.560059,3428980000,2995.748604857152,2979.4419061428557,2967.789189497871,2992.9203705899026,25.13118109203151,28.45279185646575,3036.347489855787,2922.5363224299244,3012.495441610746,3018.560059,2899.6187,2989.5193,2932.2349,3005.7861814349026
2019-07-25,3003.669922,3645270000,2995.6957310000093,2983.5509556190464,2970.447021535066,2994.574147729918,24.127126194851826,23.725731158856966,3031.00241793676,2936.0994933013326,3006.6117618702488,3002.669922,2897.744,2990.8562,2936.3442,3020.467869524935
2019-07-26,3025.860107,3257590000,3001.6157574285803,2988.888102190475,2974.5516945324684,2999.3873722330077,24.835677700539236,20.30562169672058,3029.4993455839162,2948.2768587970336,3019.44399195675,3024.860107,2895.7935,2992.0647,2940.5518,3006.632570630323
2019-07-29,3020.969971,3203710000,3005.3100237142944,2993.4619140476175,2977.990085381915,3002.707772043314,24.717686661399057,17.504636691338746,3028.471187430295,2958.45264066494,3020.4613113189166,3019.969971,2893.7673,2993.1387,2944.844,3027.6674093258334
2019-07-30,3013.179932,3634330000,3010.53428442858,2996.8628627142843,2980.5967406869586,3004.318873575112,23.722132888153283,16.20606077410948,3029.2749842625035,2964.450741166065,3015.607058439639,3012.179932,2891.6653,2994.0713,2949.2065,3019.3431055135884
2019-07-31,2980.3798829999996,4623430000,3009.8699778571513,2997.627139142856,2980.5806771545917,3000.635951948172,20.055274793580338,15.671176605056838,3028.9694923529696,2966.284785932742,2992.1222748132127,2979.3798829999996,2889.4883,2994.856,2953.624,3015.8761868734287
2019-08-01,2953.560059,4762300000,3002.454276142866,2996.7009509999984,2978.5791498838817,2993.3935068792225,14.814356995340859,18.665346988233022,3034.0316449764646,2959.3702570235323,2966.4141309377374,2952.560059,2887.236,2995.486,2958.0803,2982.4739584015565
2019-08-02,2932.050049,3874660000,2989.9528461428663,2993.66428342857,2975.1325498184087,2983.956051820881,8.823502002472196,23.613686357031558,3040.891656142633,2946.4369107145067,2943.5047429792453,2931.050049,2884.909,2995.9553,2962.5588,2954.786399000759
2019-08-05,2844.73999,4513730000,2967.248570142866,2986.727620476189,2965.4738416837117,2962.5381961561293,-2.9356455275824374,40.80832151034876,3068.3442634968865,2905.110977455491,2877.661574326415,2843.73999,2882.5073,2996.2576,2967.0413,2932.679908603666
2019-08-06,2881.77002,4154240000,2946.6642720000086,2982.2428618571407,2959.2735585960295,2950.1123229013397,-9.161235694689822,47.14670580238033,3076.5362734619016,2887.94945025238,2880.400538108805,2880.77002,2880.0317,2996.3865,2971.5093,2845.29251627494
2019-08-07,2883.97998,4491750000,2927.094273285723,2977.6881045714267,2953.696256477805,2939.938116301133,-13.758140176671986,51.913523080860394,3081.5151507331475,2873.861058409706,2882.786832702935,2882.97998,2877.4824,2996.336,2975.9436,2885.6967776470456
2019-08-08,2938.090088,4106370000,2916.3671527142947,2975.070010285712,2952.5402439979675,2939.653804254805,-12.886439743162555,52.311457095941385,3079.692924477595,2870.4470960938293,2919.655669567645,2937.090088,2874.8599,2996.1,2980.3245,2879.8748200353907
2019-08-09,2918.649902,3350640000,2907.5485840000088,2971.200485999998,2950.029848294414,2936.4224346771425,-13.607413617271504,52.8105606030511,3076.8216072061,2865.579364793896,2918.9851578558814,2917.649902,2872.1643,2995.6733,2984.631,2944.0768789817403
