??,??,??,???,???,??,??,???(?),????(?),???
4/16/2019,9993.25,10287.64,233.88,2.33%,9928.28,10287.64,175490112,21689228,-
4/15/2019,10294.83,10053.76,-78.58,-0.78%,10048.83,10365.31,168056384,20801490,-
4/12/2019,10138.09,10132.34,-26.06,-0.26%,10053.81,10186.47,143352896,17060492,-
4/11/2019,10420.65,10158.4,-276.68,-2.65%,10149.38,10437.45,179458640,22397328,-
4/10/2019,10403.24,10435.08,-1.54,-0.01%,10328.61,10529.74,206529824,26214134,-
4/9/2019,10368.03,10436.62,84.75,0.82%,10304.73,10438.99,189906528,22952452,-
4/8/2019,10510.43,10351.87,-63.93,-0.61%,10226.25,10541.18,248065296,28957194,-
4/4/2019,10379.2,10415.8,75.29,0.73%,10309.53,10453.5,222844864,26528364,-
4/3/2019,10199.97,10340.51,80.15,0.78%,10166.67,10350.57,210395664,24071390,-
4/2/2019,10314.79,10260.36,-7.34,-0.07%,10220.81,10334.96,249924112,29328166,-
4/1/2019,9976.98,10267.7,360.84,3.64%,9976.98,10277.55,253496400,30327214,-
3/29/2019,9556.3,9906.86,360.35,3.77%,9554.07,9906.86,202730480,24309880,-
3/28/2019,9586.38,9546.51,-62.92,-0.65%,9537.61,9695.52,154111216,18355640,-
3/27/2019,9582.03,9609.44,96.44,1.01%,9446.35,9609.43,161625280,18345598,-
3/26/2019,9753.17,9513,-188.7,-1.94%,9487.1,9780.08,195572960,20841270,-
3/25/2019,9705.02,9701.7,-177.52,-1.80%,9680.94,9858.08,205824672,22104716,-
3/22/2019,9871.99,9879.22,9.42,0.10%,9692.25,9891.83,203071344,21603518,-
3/21/2019,9808.74,9869.8,69.2,0.71%,9771.86,9934.86,234325968,24162990,-
3/20/2019,9828.07,9800.6,-39.14,-0.40%,9642.67,9848.77,204139232,22003732,-
3/19/2019,9844.46,9839.74,-3.69,-0.04%,9774.75,9908.17,193538688,21696010,-
3/18/2019,9583.45,9843.43,292.89,3.07%,9510.66,9843.43,199861120,23361078,-
3/15/2019,9485.33,9550.54,132.61,1.41%,9452.91,9650.54,180165392,20539812,-
