??,??,??,???,???,??,??,???(?),????(?),???
4/27/2017,10174.25,10229.19,24.35,0.24%,10015.89,10244.08,96323584,12430288,-
4/26/2017,10162.72,10204.84,39.62,0.39%,10161.42,10251.7,84434424,11211022,-
4/25/2017,10106.9,10165.22,73.33,0.73%,10104.55,10213.49,74705024,9664582,-
4/24/2017,10285.04,10091.89,-222.46,-2.16%,10060.11,10285.04,76093672,9704584,-
4/21/2017,10357.86,10314.35,-44.74,-0.43%,10300.4,10407.78,71025872,9150492,-
4/20/2017,10346.99,10359.09,10.68,0.10%,10306.39,10411.75,84554472,11354006,-
4/19/2017,10377.28,10348.41,-63.03,-0.61%,10235,10393.73,92453376,11823512,-
4/18/2017,10449.01,10411.44,-39.42,-0.38%,10405.35,10522.85,87247872,11361632,-
4/17/2017,10483.96,10450.86,-69,-0.66%,10406.52,10505.63,88624032,11208275,-
4/14/2017,10662.25,10519.86,-134.22,-1.26%,10515.37,10662.53,111514832,13586053,-
4/13/2017,10578.58,10654.09,66.78,0.63%,10571.7,10678.78,109450208,13185058,-
4/12/2017,10643.49,10587.31,-68.48,-0.64%,10584.7,10667.6,139194752,16851040,-
4/11/2017,10601,10655.79,52.51,0.50%,10476.66,10662.5,137013712,18537790,-
4/10/2017,10663.86,10602.52,-66.96,-0.63%,10593.76,10664.1,121563928,15855559,-
4/7/2017,10652.4,10669.48,13.31,0.12%,10635.08,10702.88,104487632,13896892,-
4/6/2017,10649.84,10656.17,29.04,0.27%,10608.13,10661.77,88324056,12575645,-
4/5/2017,10496.78,10627.13,198.41,1.90%,10496.78,10628.6,95915160,13678942,-
3/31/2017,10351.33,10427.74,79.47,0.77%,10351.33,10427.89,62819468,9243970,-
3/30/2017,10505.39,10348.27,-172.55,-1.64%,10328.95,10513.88,85024192,11568268,-
3/29/2017,10573.12,10520.82,-42.46,-0.40%,10497.01,10585.88,78106272,11038241,-
3/28/2017,10580.16,10563.29,-18.63,-0.18%,10538.02,10606.09,65425796,9635339,-
3/27/2017,10643.45,10581.92,-64.8,-0.61%,10578.75,10660.23,74675304,11023321,-
3/24/2017,10584.09,10646.72,63.68,0.60%,10580.11,10666.12,83432016,11991555,-
3/23/2017,10558.34,10583.04,29.51,0.28%,10477.57,10607.73,76551128,11590122,-
3/22/2017,10535.67,10553.53,-33.09,-0.31%,10488.63,10586.48,78849480,11528040,-
3/21/2017,10527.41,10586.62,54.29,0.52%,10513.63,10586.62,66733380,10633584,-
3/20/2017,10512.89,10532.33,16.92,0.16%,10459.74,10534.11,69838832,10601923,-
3/17/2017,10632.04,10515.41,-109.01,-1.03%,10514.67,10650.46,87884184,12994677,-
3/16/2017,10573.77,10624.42,81.41,0.77%,10573.77,10628.18,85855856,12615419,-
3/15/2017,10515.59,10543.01,11.28,0.11%,10499.85,10551.71,69601896,10391616,-
3/14/2017,10561.5,10531.73,-28.15,-0.27%,10515.52,10577.48,72039832,11083849,-
3/13/2017,10450.65,10559.88,108.87,1.04%,10402.72,10559.88,76422168,11429164,-
3/10/2017,10415.38,10451.01,29.95,0.29%,10415.38,10476.59,61538236,9533192,-
3/9/2017,10484.28,10421.06,-77.25,-0.74%,10402.36,10484.68,67406824,9635217,-
3/8/2017,10549.99,10498.31,-53.83,-0.51%,10473.88,10549.99,63771816,9577945,-
3/7/2017,10527.83,10552.14,29.86,0.28%,10495.5,10552.14,75639968,11552814,-
3/6/2017,10406.23,10522.28,125.23,1.20%,10406.23,10522.28,78250216,11947148,-
3/3/2017,10339.89,10397.05,29.74,0.29%,10308.22,10404.87,69825712,10153171,-
3/2/2017,10429.98,10367.31,-51.31,-0.49%,10362,10443.87,72215632,9697432,-
3/1/2017,10387.63,10418.62,27.28,0.26%,10378.12,10446.38,75071440,10056464,-
2/28/2017,10354.87,10391.34,37.78,0.36%,10340.09,10402.28,64357288,8538110,-
2/27/2017,10443.3,10353.56,-90.17,-0.86%,10345.47,10447.68,74077832,9924662,-
2/24/2017,10423.64,10443.73,11.09,0.11%,10396.75,10446.5,76567544,10288310,-
2/23/2017,10439.83,10432.64,-11.74,-0.11%,10379.05,10454.16,86652016,11059042,-
2/22/2017,10403.92,10444.38,38.63,0.37%,10385.1,10444.38,80970640,10326146,-
2/21/2017,10338.87,10405.75,76.75,0.74%,10330.29,10407.14,81971416,10662001,-
2/20/2017,10203.02,10329,131.08,1.29%,10203.02,10334.59,76302968,9784666,-
2/17/2017,10261.09,10197.92,-56.04,-0.55%,10183.38,10296.14,74935560,9541378,-
2/16/2017,10175.12,10253.96,76.71,0.75%,10163.24,10253.96,69286128,8367322,-
2/15/2017,10259.95,10177.25,-87.67,-0.85%,10160.11,10294.77,78931512,9753466,-
2/14/2017,10273.09,10264.92,-5.9,-0.06%,10234.37,10286.37,65103340,8197397,-
2/13/2017,10188.71,10270.83,84.45,0.83%,10187.09,10279.12,77994984,9625706,-
2/10/2017,10184.57,10186.38,3.65,0.04%,10155.36,10212.48,75602008,9035776,-
2/9/2017,10124.45,10182.73,52.61,0.52%,10116.45,10194.42,68979408,8881176,-
2/8/2017,10043.61,10130.12,74.55,0.74%,10003.92,10130.12,57522172,7586910,-
2/7/2017,10072.51,10055.57,-23.16,-0.23%,10011.77,10093.67,53470568,6916219.5,-
2/6/2017,10004.22,10078.73,73.89,0.74%,9984.64,10080.58,51862156,6557779.5,-
2/3/2017,10061.29,10004.84,-47.21,-0.47%,9985.3,10066.7,45144216,5033531,-
1/26/2017,9989.85,10052.05,74.09,0.74%,9989.36,10053.36,45169592,5498027,-
1/25/2017,9931.62,9977.96,36.41,0.37%,9922.49,9991.5,43293548,5336924.5,-
1/24/2017,9972.61,9941.55,-34.64,-0.35%,9928.08,9978.27,51076768,6242457,-
1/23/2017,9919.41,9976.19,70.05,0.71%,9919.41,10010.08,56818120,6849927.5,-
1/20/2017,9763.04,9906.14,137.57,1.41%,9762.78,9925.17,52895984,6885930.5,-
1/19/2017,9781.64,9768.57,-36.19,-0.37%,9746.3,9821.22,45484056,5400063,-
1/18/2017,9801.08,9804.76,-22.03,-0.22%,9774.75,9858.79,46393016,6289788.5,-
1/17/2017,9684.53,9826.79,113.99,1.17%,9611.19,9827.91,57698372,7555910,-
1/16/2017,9993.56,9712.8,-295.5,-2.95%,9482.84,9993.56,82699384,10332469,-
1/13/2017,10135.68,10008.3,-122.93,-1.21%,9997.4,10155.22,59788620,7686034,-
1/12/2017,10207.43,10131.23,-84.25,-0.82%,10127.42,10236.09,62418236,7345732,-
1/11/2017,10294.3,10215.48,-90.86,-0.88%,10213.86,10331.37,61994392,7779130.5,-
1/10/2017,10327.01,10306.34,-25.45,-0.25%,10301.69,10357.14,64607492,8234365.5,-
1/9/2017,10281.31,10331.79,42.43,0.41%,10258.37,10337.7,61933736,8582359,-
1/6/2017,10362.85,10289.36,-82.11,-0.79%,10286.52,10363.12,61857024,8652467,-
1/5/2017,10382.6,10371.47,-13.4,-0.13%,10365.44,10396.91,68094984,9177060,-
1/4/2017,10264.43,10384.87,122.02,1.19%,10255.75,10384.87,72296288,9993175,-
1/3/2017,10205.14,10262.85,85.71,0.84%,10205.14,10275.13,62193540,7788159,-
12/30/2016,10175.5,10177.14,17.69,0.17%,10145.11,10204.09,50435324,6523631,-
12/29/2016,10177.03,10159.45,-27.71,-0.27%,10151.28,10222.52,49348956,6447161,-
12/28/2016,10229.01,10187.16,-43.41,-0.42%,10169.8,10246.77,51950156,6443636.5,-
12/27/2016,10229.91,10230.57,-2.85,-0.03%,10221.67,10270.98,52586172,6806116,-
12/26/2016,10163.51,10233.42,33.56,0.33%,10062.37,10233.42,61395728,7861068.5,-
12/23/2016,10304.63,10199.86,-107.06,-1.04%,10196.72,10311.39,63294100,7907261,-
12/22/2016,10310.72,10306.92,-6.65,-0.06%,10257.32,10323.07,58660432,7418071.5,-
12/21/2016,10266.19,10313.57,68.24,0.67%,10266.19,10320.34,62491032,7951881,-
12/20/2016,10275.44,10245.33,-37.83,-0.37%,10204.02,10276.63,63582324,7646382.5,-
12/19/2016,10330.61,10283.16,-51.6,-0.50%,10262.69,10330.61,65563488,8049444.5,-
12/16/2016,10258.64,10334.76,78.65,0.77%,10239.21,10346.53,67987400,8752582,-
12/15/2016,10202.24,10256.11,23.29,0.23%,10195,10331.98,75587200,9589940,-
12/14/2016,10318.07,10232.82,-99.46,-0.96%,10213.95,10333.66,79221984,9970805,-
12/13/2016,10280.44,10332.28,29.43,0.29%,10192.13,10364.06,81812800,10397014,-
12/12/2016,10774.59,10302.85,-486.77,-4.51%,10292.54,10775.57,115126880,15302405,-
12/9/2016,10802.18,10789.62,-22.68,-0.21%,10766.55,10835.91,77588544,10700016,-
12/8/2016,10865.22,10812.3,-43.42,-0.40%,10804.74,10865.22,78383208,10222484,-
12/7/2016,10780.21,10855.72,75.96,0.70%,10751.2,10855.72,74521760,9653013,-
12/6/2016,10798.8,10779.77,-4.56,-0.04%,10774.36,10833.81,69833816,10234542,-
12/5/2016,10776.12,10784.33,-128.3,-1.18%,10762.85,10894.08,91377688,12445917,-
12/2/2016,11074.54,10912.63,-175.53,-1.58%,10905.39,11078.29,101103552,13909924,-
12/1/2016,11037.12,11088.16,75.97,0.69%,11036.61,11090.93,95405536,13854869,-
11/30/2016,11023.66,11012.19,-22.51,-0.20%,10983.18,11072.05,97834056,13875565,-
11/29/2016,11039.62,11034.7,-34.17,-0.31%,11026.3,11124.81,113370336,15474277,-
11/28/2016,11078.77,11068.87,32.34,0.29%,11045.68,11108.87,111328216,15665778,-
11/25/2016,10966.36,11036.53,69.06,0.63%,10830.4,11036.53,102832032,14732227,-
11/24/2016,10960.64,10967.47,-6.33,-0.06%,10947.27,11030.12,102753136,14722127,-
11/23/2016,11011,10973.8,-11.8,-0.11%,10952,11041.52,108008928,15799611,-
11/22/2016,10910.42,10985.6,85.68,0.79%,10910.42,10985.6,95783784,13126551,-
11/21/2016,10877.08,10899.92,10.81,0.10%,10861.81,10955.44,82298544,11533010,-
11/18/2016,10946.88,10889.11,-56.31,-0.51%,10876.91,10963.66,78940112,10820859,-
11/17/2016,10942.1,10945.42,-22.66,-0.21%,10887.51,10961.8,85299432,11810466,-
11/16/2016,10970.7,10968.08,9.98,0.09%,10956.87,10998.92,109218192,14785428,-
11/15/2016,10910.14,10958.1,50.57,0.46%,10877.4,10958.1,106385712,13936969,-
11/14/2016,10855.98,10907.53,29.39,0.27%,10847.82,10952.61,132624408,16831828,-
11/11/2016,10823.93,10878.14,56.48,0.52%,10792.83,10878.14,126012496,15733444,-
11/10/2016,10777.1,10821.66,124.55,1.16%,10777.1,10848.98,100993896,12578772,-
11/9/2016,10768.86,10697.11,-66.02,-0.61%,10575.16,10785.09,104935392,13894497,-
11/8/2016,10734.07,10763.13,67.95,0.64%,10722.36,10785.88,80350768,10589729,-
11/7/2016,10704.26,10695.18,-7.39,-0.07%,10663.56,10729.99,86748064,10350377,-
11/4/2016,10737.91,10702.57,-41.39,-0.39%,10684.47,10784.84,74385608,10571663,-
11/3/2016,10662.16,10743.96,51.31,0.48%,10655.14,10804.26,88286656,12409088,-
11/2/2016,10771.35,10692.65,-103.49,-0.96%,10686.94,10785.11,79899016,11101615,-
11/1/2016,10714.82,10796.14,91.84,0.86%,10706.87,10797.06,66909628,9567375,-
